promedio_asistencia,promedio_seguimiento,nota_parcial_1,inicios_sesion_plataforma,uso_tutorias,riesgo_reprobacion
89.3,4.0,2.6,44,3,0
75.7,3.3,2.5,44,2,0
68.8,3.9,2.9,20,5,0
89.9,3.1,2.6,35,3,0
69.7,4.2,4.8,42,3,0
69.8,3.3,3.2,48,4,0
78.7,3.5,4.0,58,0,0
60.0,2.7,4.6,37,0,0
77.7,3.3,3.8,57,1,0
71.6,2.1,3.3,51,0,0
85.5,4.4,4.0,26,4,0
78.9,3.9,3.9,25,0,0
78.8,2.0,3.5,41,1,1
76.5,2.2,2.5,32,2,1
79.7,2.4,2.2,46,1,0
85.0,2.2,2.3,35,0,1
68.4,3.0,2.2,46,2,0
96.2,3.7,3.8,27,6,0
90.4,3.4,2.5,25,0,0
87.3,3.8,3.8,42,1,0
71.9,3.6,4.6,31,1,0
97.8,4.1,4.8,53,0,0
78.0,3.2,3.1,20,0,0
79.4,3.3,3.8,45,0,0
92.2,3.6,3.4,37,1,0
60.0,2.7,3.3,45,0,0
71.4,3.1,3.1,28,6,1
75.4,3.5,3.3,43,1,0
82.3,2.6,2.8,49,0,1
73.7,3.7,5.0,41,0,0
86.7,3.7,3.1,29,0,0
90.0,2.5,3.0,31,1,0
88.9,2.8,3.2,40,0,0
64.1,3.2,4.5,45,2,0
84.8,3.3,2.5,36,0,0
86.1,4.9,4.1,35,1,0
88.8,4.7,4.1,42,2,0
90.3,3.2,2.5,48,0,0
87.3,2.9,4.1,27,0,0
72.0,3.0,2.3,22,6,0
84.5,3.7,2.5,49,4,0
64.3,4.4,2.9,42,4,0
94.4,2.6,2.7,42,1,0
68.0,3.9,3.9,29,3,0
84.2,3.7,3.3,50,0,1
82.0,2.6,4.2,28,4,0
73.4,3.0,3.4,25,0,0
81.3,2.0,4.9,35,1,0
81.8,2.5,3.7,44,1,0
71.8,2.7,2.7,24,3,1
87.1,4.2,4.4,34,1,0
95.3,3.0,3.4,27,1,0
97.6,4.1,3.7,44,4,0
69.0,3.7,2.9,35,0,1
79.2,2.0,2.9,35,0,0
90.3,4.5,3.7,35,1,0
91.0,4.3,3.2,30,1,0
85.1,2.8,2.6,31,0,0
81.9,2.9,3.6,26,1,0
81.7,3.3,4.2,25,2,0
89.1,2.5,3.3,35,0,0
80.0,2.8,4.5,57,0,0
85.2,3.8,4.1,36,4,0
71.2,3.4,3.6,43,0,1
75.4,3.7,3.1,34,10,0
91.1,4.2,2.7,39,2,0
84.0,4.7,4.7,33,1,0
93.0,4.4,4.1,51,3,0
95.2,3.5,3.7,45,3,0
81.6,3.3,2.9,35,6,0
68.1,3.9,2.5,37,2,0
79.3,3.8,2.5,40,1,0
77.4,4.0,3.3,43,0,0
76.1,2.9,2.9,29,1,0
90.0,2.5,2.3,39,3,1
84.0,3.5,3.5,52,2,0
60.9,3.3,2.7,26,2,1
100.0,3.9,4.1,43,2,0
90.1,4.4,2.8,35,0,0
89.8,2.8,2.4,50,2,0
67.3,2.9,3.3,50,0,0
79.8,3.9,3.4,41,0,0
100.0,3.8,3.5,37,1,0
91.1,3.0,3.2,54,1,0
60.0,3.0,3.3,45,5,0
74.7,4.4,3.6,39,0,0
75.2,4.0,2.0,32,2,0
92.7,3.8,3.0,40,6,0
82.9,2.9,3.3,37,0,1
68.6,3.1,2.4,47,3,0
69.2,2.8,2.9,39,0,0
74.0,3.0,2.5,43,2,1
83.4,2.6,2.8,29,1,0
73.3,3.9,2.5,53,3,0
82.6,2.3,2.1,42,1,1
94.7,3.1,3.3,46,0,0
60.0,3.8,4.2,36,10,0
71.3,5.0,2.9,33,5,0
87.0,3.2,4.6,37,0,0
72.1,2.0,3.9,37,1,0
71.7,3.1,2.0,42,3,1
75.3,3.4,2.5,38,0,0
73.3,2.9,3.5,26,1,0
74.2,3.2,2.5,40,1,0
74.5,2.9,2.5,41,0,0
88.5,3.0,3.3,25,2,0
70.7,3.4,2.8,55,2,0
67.0,2.5,3.4,32,0,0
86.9,3.7,4.3,41,0,0
81.2,3.3,3.5,25,3,0
60.0,2.5,2.7,49,1,1
86.5,3.2,2.9,20,2,0
66.3,2.8,3.6,36,4,0
83.3,3.1,3.2,40,3,1
81.1,2.3,2.3,42,1,0
84.2,4.3,4.5,42,7,0
81.5,3.7,3.8,33,1,0
67.9,2.6,2.7,41,0,1
86.2,3.8,4.3,59,1,0
82.4,2.6,2.6,37,1,0
92.1,3.1,3.7,38,0,0
100.0,3.1,3.9,42,5,0
98.1,2.5,3.7,48,1,0
70.8,2.7,3.7,29,6,1
83.4,2.7,3.3,49,3,0
100.0,4.0,3.6,45,2,0
72.8,2.0,2.7,31,0,0
75.0,3.3,3.2,37,8,0
60.2,4.2,3.1,32,1,0
76.0,2.8,2.5,45,0,1
79.1,2.5,2.0,25,3,0
72.0,2.4,2.0,25,3,0
82.1,2.6,4.7,55,0,0
75.0,2.5,2.6,26,2,0
89.9,3.7,3.8,44,0,1
73.7,2.9,3.9,39,0,0
76.7,2.6,2.8,30,0,0
76.6,2.9,2.5,35,1,0
84.2,3.4,3.6,42,1,0
84.4,3.7,4.8,54,1,0
77.9,3.5,2.5,43,1,0
87.8,3.2,3.9,46,5,0
73.3,3.6,5.0,34,4,0
83.4,4.2,3.1,43,1,0
75.2,4.3,3.3,42,0,0
92.6,2.5,3.7,54,0,0
91.8,3.9,2.8,45,0,0
79.5,2.9,3.7,46,0,0
69.5,3.2,3.8,33,0,0
68.6,2.4,2.0,43,4,0
85.8,2.6,3.9,29,2,0
89.2,3.0,3.9,40,3,0
67.2,3.3,3.1,42,0,0
77.1,3.9,4.2,55,0,0
75.5,3.8,2.7,48,3,0
84.4,4.6,4.1,43,0,0
100.0,3.4,2.5,58,0,0
65.8,2.5,2.4,28,0,0
80.6,2.2,3.6,44,2,0
79.7,3.7,4.0,43,1,0
96.0,3.6,3.6,55,1,0
71.9,3.1,2.5,40,3,0
81.0,2.8,2.9,36,0,0
79.1,3.1,2.1,50,1,0
64.0,3.4,2.5,51,2,0
74.7,3.5,3.1,50,0,0
86.2,2.0,4.5,38,3,0
83.7,4.6,2.5,25,0,0
82.4,3.5,3.0,34,3,0
75.0,3.2,2.8,50,0,1
93.4,2.6,3.6,49,3,0
90.0,2.0,3.3,50,5,0
81.5,3.3,3.4,54,0,0
91.1,3.0,2.9,34,2,0
100.0,3.8,2.8,44,0,0
80.6,4.1,2.5,43,0,0
74.3,4.6,3.7,51,0,0
83.8,3.6,3.4,44,4,0
82.3,3.0,3.4,41,2,0
77.4,3.6,4.0,45,1,0
90.4,3.2,3.2,51,0,0
72.4,3.7,2.7,33,0,1
85.3,3.6,3.0,41,1,0
68.7,2.5,2.8,31,2,0
93.6,3.7,2.7,35,4,0
91.8,3.1,5.0,35,0,0
86.3,4.0,4.3,42,0,0
91.4,2.9,2.5,41,1,0
80.9,3.5,2.5,50,3,1
85.0,3.3,4.1,46,2,0
98.3,4.4,3.4,40,3,0
71.9,2.8,3.5,36,0,1
86.3,4.4,3.9,37,0,0
85.3,2.9,4.0,40,4,0
90.2,3.9,3.5,32,6,0
82.0,3.7,3.7,20,1,0
70.6,3.2,3.9,39,1,0
62.1,4.0,3.1,23,1,0
76.5,2.4,4.3,40,0,0
74.9,3.2,2.7,50,0,0
81.4,2.7,3.4,33,1,0
71.9,2.4,2.0,42,0,1
84.2,2.9,2.5,40,1,0
81.3,2.9,2.5,50,0,0
84.9,3.2,3.8,27,0,0
77.0,3.6,3.8,39,1,0
66.1,2.7,3.4,32,3,0
74.8,3.8,3.5,54,1,0
83.5,3.6,3.7,49,0,0
89.3,3.6,3.6,36,0,0
93.5,3.7,3.0,25,5,0
89.9,3.9,3.6,51,1,0
88.6,3.4,5.0,44,2,0
90.0,3.2,3.3,46,1,0
78.0,4.2,4.6,36,4,0
81.6,2.4,2.1,28,8,0
60.0,2.5,2.0,49,1,1
60.4,2.5,2.6,42,3,1
81.1,2.3,4.1,51,2,0
77.1,3.4,4.5,56,0,0
74.0,3.3,2.7,49,1,0
84.8,3.4,4.7,28,5,0
68.0,3.9,3.0,50,1,1
98.3,3.9,5.0,37,2,0
93.1,2.0,4.2,35,0,0
68.9,4.0,3.2,33,0,0
80.2,2.6,2.8,25,0,0
88.8,3.2,2.9,44,10,0
79.3,4.9,2.5,39,4,0
87.8,3.5,3.4,33,0,0
79.0,3.2,3.3,39,1,0
82.1,3.2,3.3,37,2,0
92.0,3.0,5.0,49,3,0
74.0,2.8,3.3,48,0,0
67.4,4.3,3.6,50,1,0
80.3,4.1,4.4,41,0,0
74.8,3.5,3.3,47,1,0
82.5,3.8,5.0,52,0,0
92.8,4.5,4.8,46,1,0
89.7,3.6,2.5,39,1,0
93.3,4.4,4.0,34,0,0
80.9,2.7,3.2,28,1,0
83.9,3.0,2.8,33,1,1
76.1,2.9,3.2,27,2,0
76.5,2.9,3.7,25,2,0
67.1,3.3,3.4,20,1,1
85.0,3.5,3.7,44,1,0
67.3,4.0,2.8,50,0,1
72.3,4.1,3.1,29,1,0
86.8,3.7,4.6,60,5,0
83.1,3.8,4.9,49,2,0
91.6,2.8,4.6,53,1,0
67.3,2.5,2.8,46,1,0
77.1,2.5,3.7,38,0,0
98.9,3.4,3.9,31,3,0
80.8,3.7,2.7,43,0,0
92.7,4.1,3.0,25,0,0
93.7,2.2,2.6,36,0,0
75.8,4.1,3.7,40,1,0
79.1,2.7,2.2,38,6,1
79.3,2.4,2.7,27,3,0
90.4,4.0,3.4,45,0,0
76.2,3.9,2.6,24,3,0
100.0,4.2,4.0,43,0,0
81.4,3.9,4.0,34,2,0
78.4,4.1,3.0,55,0,0
79.1,2.9,3.7,54,2,0
77.8,3.7,2.5,52,1,0
79.0,3.3,3.8,50,5,0
84.6,2.9,2.6,44,5,0
72.7,3.8,2.4,28,5,0
83.4,2.6,4.3,36,0,0
75.3,3.2,4.9,46,1,0
67.1,3.7,2.8,38,0,0
80.9,3.7,2.6,51,0,0
91.3,4.4,3.6,43,1,0
76.5,3.3,2.5,44,0,0
71.6,3.3,4.2,48,1,0
89.6,2.4,3.0,44,2,0
100.0,3.0,4.8,42,0,0
87.2,2.8,2.0,50,2,1
64.0,3.4,2.3,41,1,0
86.4,3.3,4.7,41,5,0
82.4,3.0,2.9,43,2,0
77.5,3.3,3.7,36,2,1
93.0,3.4,3.1,53,0,0
82.4,3.2,2.5,50,0,0
98.6,3.4,3.9,43,0,0
83.7,3.5,2.9,30,0,1
85.5,4.3,3.7,46,1,0
86.4,2.9,2.9,42,3,0
61.4,3.8,3.4,27,0,0
62.4,2.8,3.8,37,0,0
69.0,2.6,2.8,39,0,1
66.7,2.3,3.1,34,4,1
75.8,3.1,2.7,36,8,0
92.4,3.4,5.0,34,1,0
78.2,3.0,2.1,49,1,1
87.3,2.7,3.3,32,4,0
70.3,3.1,3.1,34,2,0
91.5,4.1,3.7,43,10,0
79.3,4.6,4.1,46,0,0
78.2,2.7,2.3,45,0,1
75.0,3.9,3.7,41,1,0
72.6,3.3,2.8,39,2,0
91.8,2.8,4.7,26,0,0
74.6,2.8,2.7,31,1,0
88.7,3.9,4.0,40,1,0
68.5,3.3,2.9,41,0,0
84.1,2.7,3.5,45,3,0
90.0,3.8,2.0,30,1,1
94.1,3.8,3.0,43,0,0
72.6,3.0,2.8,43,0,0
86.4,3.9,2.8,32,2,0
82.5,3.2,2.5,46,0,0
72.3,4.0,2.7,37,2,0
88.3,4.0,2.5,37,2,0
99.7,3.4,4.1,37,1,0
72.4,3.8,2.7,20,2,0
85.0,4.2,3.8,43,4,0
83.9,3.9,2.6,36,1,0
74.8,2.9,3.0,33,0,0
80.7,3.8,3.0,28,3,0
87.9,3.2,2.0,49,5,0
70.9,3.6,2.0,37,1,1
81.6,3.4,2.5,41,0,0
91.6,3.4,3.1,48,0,0
70.7,2.5,2.8,50,0,1
78.7,2.6,2.6,34,0,0
89.5,2.9,2.5,60,3,0
91.4,3.9,4.5,43,1,0
77.1,2.0,3.8,26,3,0
90.0,2.9,2.4,42,1,1
75.9,4.3,2.9,35,1,0
91.2,3.8,3.5,28,1,0
92.1,4.1,4.2,52,0,0
77.2,3.1,3.2,20,0,1
85.7,2.7,3.7,36,1,0
74.5,3.1,3.3,28,1,0
90.0,2.4,2.0,22,3,0
74.5,3.1,2.6,43,0,0
72.4,3.7,2.5,47,2,0
86.2,2.7,3.3,39,1,0
88.0,2.5,3.3,39,4,0
73.4,2.4,3.0,20,0,1
94.7,3.1,4.1,29,0,0
82.1,3.0,2.6,25,3,0
80.7,3.9,4.2,34,0,0
69.9,3.8,2.9,26,5,0
76.2,2.0,2.2,30,0,1
91.5,3.2,4.3,35,0,0
100.0,3.8,2.5,35,5,0
91.3,2.8,3.5,51,5,0
78.8,3.6,4.4,52,1,0
93.1,3.6,4.8,42,4,0
95.2,3.6,4.9,36,0,0
76.1,2.2,3.7,50,4,0
100.0,4.2,2.5,48,0,0
75.1,2.5,2.7,50,1,1
83.1,2.7,3.7,43,1,0
73.0,2.9,2.6,40,0,1
80.1,5.0,4.9,45,0,0
82.0,2.8,3.4,50,2,1
85.1,2.9,2.4,23,1,1
78.7,3.0,5.0,53,0,0
91.1,4.5,3.1,47,1,0
85.2,3.1,4.3,52,2,0
84.6,4.7,2.5,51,0,0
96.5,4.4,2.5,26,2,0
70.7,4.2,2.7,45,0,0
80.9,3.6,3.6,44,2,0
83.6,4.2,2.6,50,4,0
79.9,3.1,2.9,50,1,0
96.1,2.4,2.9,48,1,0
68.2,3.4,4.0,49,0,0
98.5,4.3,3.2,38,0,0
80.1,4.0,2.0,32,1,0
81.1,4.0,3.3,36,0,0
100.0,4.6,4.9,29,6,0
86.5,2.9,3.9,25,0,0
81.8,2.0,3.3,38,2,1
80.2,3.9,4.8,34,1,0
76.0,2.0,4.3,51,0,0
89.9,3.3,2.8,27,1,0
83.4,2.6,2.6,50,3,0
74.6,2.9,3.6,50,0,0
100.0,3.6,3.9,25,0,0
81.3,3.7,4.4,52,2,0
82.3,3.9,3.5,20,1,0
73.1,3.8,3.5,46,3,0
71.6,3.6,3.6,32,4,1
91.9,4.4,2.7,25,2,0
73.2,4.2,3.8,36,0,0
82.2,4.2,3.3,25,2,0
97.2,4.0,4.2,33,8,0
82.9,4.5,3.7,37,6,0
83.9,2.6,2.6,32,2,0
73.1,3.1,2.0,26,3,1
94.0,4.0,3.8,29,0,0
84.6,3.1,2.6,34,1,0
94.9,3.5,2.5,38,0,0
100.0,3.2,3.2,44,0,0
76.3,2.3,2.9,37,2,0
86.0,3.6,3.0,37,3,0
76.7,3.4,4.2,40,5,0
73.5,3.6,3.8,38,2,0
95.1,3.7,2.5,48,0,0
78.0,3.2,3.3,59,2,0
87.7,2.0,2.5,48,0,0
86.5,3.5,5.0,32,3,0
84.9,3.2,4.2,48,2,0
96.9,3.0,2.8,56,1,0
77.6,3.2,2.9,39,1,0
76.7,3.5,4.2,43,0,0
94.2,3.8,3.4,26,1,0
84.5,2.6,3.3,45,0,0
83.2,2.6,3.8,34,0,0
98.1,4.3,2.9,25,4,0
87.0,3.3,3.4,25,0,0
81.2,3.4,3.4,48,0,1
98.2,4.0,3.6,33,2,0
89.7,4.1,3.5,38,1,0
99.2,4.2,3.1,48,6,0
82.9,2.8,3.4,44,3,0
97.4,4.0,3.2,39,3,0
73.9,3.1,3.8,42,4,0
88.0,3.8,3.4,34,1,0
77.7,2.3,3.4,31,0,1
92.2,3.1,4.3,60,0,0
93.1,3.7,3.3,36,0,0
77.4,3.9,2.9,29,2,0
97.9,4.1,3.0,40,8,0
82.5,3.0,3.6,50,2,0
92.1,4.3,4.3,43,5,0
71.1,2.9,3.4,30,0,0
72.5,4.4,4.8,29,2,0
95.5,3.8,4.8,52,5,0
84.6,2.5,3.5,51,0,0
91.1,2.7,2.5,40,1,0
96.3,3.6,3.8,27,2,0
66.2,3.1,2.8,22,1,1
92.9,2.7,4.9,29,2,0
75.5,2.8,2.8,45,3,0
61.4,3.3,4.4,55,2,0
66.9,3.6,3.9,39,0,0
100.0,2.8,3.8,60,1,0
100.0,4.1,3.7,50,0,0
82.6,3.5,2.7,53,2,0
76.7,2.1,3.7,45,0,0
81.8,3.5,3.4,24,0,0
100.0,3.1,3.1,36,1,0
87.1,3.9,3.7,28,0,0
86.3,3.5,4.5,48,6,0
88.0,3.1,3.6,33,0,0
72.3,3.4,3.2,25,1,0
75.1,3.4,4.5,33,1,0
76.7,2.1,3.1,49,0,0
89.0,2.2,3.8,44,0,0
90.2,3.7,3.3,59,2,0
86.6,2.5,2.9,35,1,0
95.2,2.9,3.8,35,1,0
60.0,2.9,4.2,40,1,0
85.3,3.3,3.8,47,0,0
67.8,2.5,3.0,31,0,1
80.4,3.0,3.8,38,1,0
80.9,2.8,3.4,44,0,0
89.4,4.0,4.1,37,2,0
88.7,2.9,2.5,31,0,0
85.6,4.6,4.3,36,0,0
86.3,4.8,2.6,32,1,0
76.3,2.5,4.2,53,3,0
86.1,3.3,3.3,25,0,0
100.0,3.6,2.5,40,9,0
75.2,3.1,2.9,50,2,0
83.6,2.9,2.6,44,7,0
64.3,3.2,2.5,27,0,1
66.4,3.0,4.7,44,0,0
60.6,3.0,2.3,29,0,1
84.3,4.9,4.8,26,2,0
87.5,3.0,3.3,41,3,0
98.4,3.9,3.2,35,1,0
95.0,2.7,2.8,31,1,0
77.5,4.0,3.8,32,7,0
67.9,2.5,3.6,49,1,0
80.5,4.9,4.1,27,0,0
72.6,3.4,4.1,40,0,0
82.4,2.5,2.0,47,0,0
97.5,3.4,3.4,53,3,0
78.7,2.4,2.2,46,0,0
83.5,2.7,2.7,55,0,0
64.0,3.4,3.2,25,0,0
74.8,2.7,3.2,50,3,1
95.5,4.0,3.7,41,1,0
80.3,3.0,4.3,39,1,0
81.1,3.8,3.7,52,2,0
93.0,2.8,3.1,34,2,0
92.6,4.0,3.5,39,1,0
90.4,3.0,3.6,25,2,0
90.6,3.1,2.8,31,2,0
75.7,2.4,4.1,48,3,0
88.0,3.6,3.8,30,1,0
75.7,2.5,4.0,38,3,0
88.0,3.5,2.9,34,0,0
92.4,2.8,2.9,57,0,0
91.8,4.2,3.8,25,5,0
79.0,4.0,2.5,56,2,0
68.9,2.8,2.5,44,1,1
92.1,3.7,4.8,42,0,0
100.0,3.1,2.5,29,2,0
81.0,5.0,3.7,45,0,0
77.9,2.8,3.4,34,3,0
88.8,3.4,3.1,39,0,0
88.4,2.8,2.6,25,0,0
70.7,3.7,2.7,44,0,0
71.9,3.4,4.0,42,2,0
91.5,3.9,3.0,25,0,0
77.6,2.5,3.4,40,2,1
85.6,3.3,2.6,44,0,0
82.0,3.3,2.8,46,1,0
66.9,3.7,3.0,31,1,0
69.5,4.3,2.9,28,2,0
80.1,2.8,2.5,29,2,0
73.1,3.6,3.4,27,0,0
93.0,2.3,3.8,49,4,0
97.7,2.2,2.8,37,0,0
92.1,3.8,3.9,36,2,0
88.8,3.7,2.5,35,1,0
75.8,3.0,4.1,32,0,0
89.7,2.8,2.5,42,3,0
92.2,4.3,2.5,51,2,0
88.4,3.1,3.9,50,0,0
92.0,4.4,3.0,49,0,0
70.8,3.7,3.8,23,1,0
85.2,3.2,3.0,29,0,1
96.0,3.5,3.2,54,0,0
77.8,3.2,2.5,41,5,0
66.2,4.5,4.2,25,0,0
89.7,3.5,3.0,35,0,0
74.3,3.3,2.5,27,1,1
92.5,4.2,4.1,47,0,0
96.9,3.0,2.9,44,7,0
95.1,3.8,2.9,50,2,0
71.0,3.4,2.4,44,1,1
91.5,3.9,4.2,52,1,0
95.1,2.9,3.1,33,2,0
81.1,3.3,3.6,30,0,0
78.4,3.0,3.0,36,2,0
68.9,3.7,2.0,43,3,1
73.1,2.8,2.5,47,0,1
87.2,3.2,2.5,29,0,0
73.6,3.0,3.2,27,0,0
87.9,4.3,3.9,37,0,0
78.6,3.4,3.8,31,0,0
65.4,2.0,3.5,31,1,0
85.8,3.5,3.9,48,9,0
60.0,3.7,4.8,52,3,0
89.2,3.5,3.2,40,0,0
92.7,5.0,2.5,25,1,0
69.6,2.8,2.5,46,0,0
91.1,3.4,3.5,50,1,0
82.7,4.0,4.1,30,2,0
100.0,2.2,3.9,41,2,0
72.6,3.6,2.0,30,8,0
83.6,4.1,3.5,40,0,0
78.9,2.9,2.7,39,1,0
79.8,4.1,4.5,52,2,0
100.0,4.0,3.0,52,1,0
73.4,2.0,2.7,38,1,1
86.4,2.0,3.9,39,3,0
60.0,2.0,2.5,42,0,0
79.7,3.7,2.5,44,2,0
97.9,4.0,3.4,27,0,0
78.6,3.2,4.5,53,5,0
93.5,2.9,3.1,33,2,0
90.9,3.7,3.4,42,10,0
77.8,4.2,2.5,44,0,0
75.3,4.9,4.6,38,1,0
96.7,4.8,3.5,37,7,0
70.5,3.4,3.6,43,3,0
69.8,3.7,2.7,26,0,1
82.2,3.7,2.5,48,0,0
75.4,2.6,2.8,37,2,1
84.9,3.4,3.9,37,3,0
82.0,4.7,3.7,42,0,0
71.9,3.6,2.6,57,3,0
83.8,3.6,4.8,37,0,0
90.9,3.3,3.0,25,1,0
71.6,3.1,4.7,39,2,0
67.8,2.5,2.3,32,0,0
85.2,3.7,3.2,35,1,0
65.8,3.0,2.0,36,2,1
65.5,3.1,2.8,22,1,0
85.5,2.8,4.2,25,0,0
91.4,3.1,3.1,46,1,0
64.7,3.7,2.8,38,2,0
77.4,3.0,2.0,27,0,0
98.4,3.2,5.0,46,4,0
74.4,4.4,2.8,25,0,0
75.4,2.9,2.0,32,1,0
75.9,4.4,3.6,40,0,0
80.6,3.7,3.0,35,4,0
94.9,3.5,2.7,25,2,0
81.0,3.9,3.1,47,2,0
83.3,3.1,2.5,32,0,0
100.0,3.9,2.8,36,1,0
77.3,3.9,3.3,37,1,0
81.3,3.8,3.1,25,3,0
68.4,3.4,2.8,23,0,1
87.9,3.4,2.5,44,0,0
82.7,3.3,5.0,57,1,0
85.8,3.6,4.3,53,0,0
68.6,2.8,2.2,32,0,0
86.9,4.9,4.2,30,0,0
70.8,2.1,3.8,38,0,0
63.8,4.2,2.7,44,0,0
100.0,3.7,3.2,26,4,0
74.7,3.0,3.3,22,0,0
76.8,2.5,2.1,32,0,1
83.1,3.3,4.2,33,2,0
87.9,2.7,4.5,38,1,0
84.0,3.6,4.2,33,3,0
69.4,3.5,2.4,22,0,1
98.3,3.9,4.9,38,3,0
81.7,4.4,2.7,28,0,0
72.1,4.1,3.3,46,0,0
89.4,4.0,3.0,36,0,0
67.9,3.8,3.7,29,0,0
80.0,4.2,3.3,47,1,0
85.9,3.4,4.1,38,0,0
100.0,4.1,3.4,38,6,0
88.0,3.5,3.1,46,2,0
70.2,4.6,2.5,60,0,0
88.3,3.8,3.9,42,0,0
87.7,4.7,3.2,25,5,0
95.9,4.2,2.7,37,1,0
68.9,3.1,3.1,49,0,0
79.0,3.9,4.0,35,1,0
86.6,2.9,3.1,45,1,0
84.5,3.9,3.7,37,1,0
86.8,3.9,3.6,28,0,0
80.6,2.8,2.2,45,3,0
68.6,3.4,2.5,32,0,0
76.3,3.5,3.4,59,0,0
77.2,3.8,3.8,37,3,1
82.8,3.8,3.1,27,1,0
76.6,3.7,2.0,45,0,1
66.3,3.5,2.7,51,1,0
81.9,2.8,2.5,39,5,0
75.9,2.9,3.8,36,5,0
82.2,4.0,5.0,59,0,0
87.7,3.6,2.0,34,1,0
85.7,3.8,2.8,38,2,0
91.6,2.9,4.2,42,0,0
92.4,2.5,4.2,37,1,0
98.6,3.8,3.2,56,5,0
96.8,3.8,2.6,42,2,0
100.0,3.5,4.3,47,0,0
71.5,3.1,2.9,42,0,0
86.0,3.0,2.7,22,0,1
66.0,2.1,3.4,50,3,1
100.0,2.9,3.9,30,3,0
88.6,2.2,3.6,49,3,0
88.4,4.2,4.3,52,0,0
71.9,3.6,3.5,43,5,0
66.5,3.7,3.1,20,3,1
89.6,4.0,3.5,44,2,0
84.1,3.7,2.7,29,0,0
74.9,3.8,3.0,34,0,0
71.6,2.5,2.2,42,0,1
96.3,3.4,2.8,35,4,0
77.7,2.5,3.8,40,1,0
90.2,5.0,2.5,60,2,0
82.1,3.9,2.5,29,3,0
68.3,3.8,3.5,25,0,0
97.8,3.1,3.0,45,0,0
66.6,3.9,2.6,25,1,0
88.9,3.2,3.9,37,0,0
60.7,3.1,2.8,50,0,1
89.2,2.9,2.6,36,4,0
79.4,3.4,3.1,45,6,0
81.1,3.0,3.4,33,0,0
94.7,3.2,3.9,44,0,0
80.9,3.8,3.5,30,0,0
70.3,3.0,2.4,40,3,0
81.4,3.5,2.8,42,0,0
66.4,4.5,3.9,35,2,0
84.2,3.5,2.5,49,0,0
66.7,2.2,3.2,32,0,0
71.5,2.3,3.0,31,0,1
87.9,3.3,3.6,50,2,1
79.7,2.1,3.0,47,4,0
97.2,4.1,2.5,49,1,0
82.4,2.9,2.0,33,0,0
78.5,2.6,2.8,52,0,0
70.9,2.7,2.2,50,0,0
90.4,3.5,4.8,34,0,0
96.1,3.0,2.5,48,1,0
90.3,3.0,2.5,38,6,0
87.0,4.8,3.1,36,0,0
72.3,3.8,3.1,34,0,1
95.6,4.3,3.6,55,0,0
76.8,4.8,3.1,35,0,0
92.9,3.3,4.7,41,5,0
79.2,2.2,3.0,25,0,1
75.5,3.2,4.0,39,2,0
98.1,3.2,3.2,45,1,0
90.0,3.2,3.8,39,1,0
95.5,3.6,3.5,29,1,0
97.9,3.9,4.2,25,4,0
61.3,2.0,3.3,47,0,1
88.2,2.4,3.8,31,2,0
77.3,2.3,2.7,32,2,1
82.1,2.0,2.3,41,2,0
66.5,3.5,3.7,25,0,0
76.2,3.2,2.8,27,0,0
88.1,3.7,3.4,35,0,0
81.4,3.3,3.6,36,1,0
80.8,3.4,2.3,24,4,1
84.8,3.1,3.2,38,0,0
87.9,3.3,3.5,40,0,0
77.4,4.0,4.3,34,2,0
82.2,3.0,2.5,34,1,0
70.9,4.1,4.5,50,0,0
73.1,2.8,3.2,41,0,0
72.2,4.2,2.5,25,1,0
67.8,3.4,2.7,36,2,0
71.8,2.8,3.3,46,0,1
87.9,3.6,2.5,31,0,0
78.0,2.9,3.2,38,2,0
90.3,3.1,3.6,43,2,0
100.0,3.7,3.3,28,7,0
72.6,2.3,2.5,29,2,0
76.4,3.7,2.0,49,0,0
72.5,3.8,4.6,35,0,0
80.5,4.1,4.0,44,0,0
70.7,3.4,2.5,41,0,0
78.1,3.2,3.8,35,5,1
91.3,3.3,3.6,50,3,0
88.3,3.6,3.5,26,10,0
97.3,3.2,3.8,35,2,0
72.5,4.5,3.4,51,6,0
90.2,3.9,4.0,44,1,0
77.5,2.7,2.6,31,6,0
68.3,5.0,3.4,54,4,0
79.2,2.2,3.2,39,5,0
81.5,2.5,3.3,20,0,1
83.7,3.8,2.9,46,1,0
90.0,2.7,3.3,29,0,1
99.6,3.5,4.7,29,0,0
87.6,2.7,3.4,30,3,0
90.6,3.8,3.6,47,0,0
90.3,3.0,3.4,38,1,0
83.2,3.2,2.8,50,0,0
78.5,4.6,2.5,36,2,0
85.9,4.1,4.1,25,6,0
63.3,3.0,2.9,45,0,1
80.6,3.7,3.6,30,3,0
74.8,3.1,3.0,28,2,1
97.1,2.7,3.9,44,2,0
75.2,2.8,3.3,41,1,1
86.7,5.0,2.6,33,8,0
63.3,4.4,2.9,43,5,0
80.5,2.0,2.5,47,2,0
83.2,4.1,4.0,29,0,0
91.3,3.1,4.3,44,3,0
81.8,3.8,3.5,44,2,0
73.9,2.0,3.8,37,2,1
77.8,4.0,4.8,39,0,0
87.2,3.0,4.1,39,0,0
88.7,2.8,2.9,60,7,0
98.4,4.3,4.3,52,1,0
90.2,3.1,3.8,38,0,0
70.0,3.3,3.1,33,0,0
92.4,4.3,4.1,48,1,0
